"","año","codigo_ine","ccaa","prov","porcentaje_prp","degurba","ln_densidad","distancia_capital","mayores_65","porcentaje_inmigrantes","abstencion_previa","renta","porcentaje_parados"
"10091","2019","34041","Castilla y León","Palencia",11.5942028985507,"Rural areas",1.60980018354751,66.56,46.6666666666667,0,21.1111111111111,NA,5
"10093","2019","34042","Castilla y León","Palencia",13.75,"Rural areas",2.54325760112447,37.83,29.3939393939394,2.12121212121212,19.9324324324324,11584,8.1
"10095","2019","34045","Castilla y León","Palencia",9.23076923076923,"Rural areas",1.41224011132849,27.7,34.6666666666667,0,13.1578947368421,NA,11.1
"10097","2019","34046","Castilla y León","Palencia",9.67741935483871,"Rural areas",1.29487858259561,29.47,20,6,12.1951219512195,NA,0
"10099","2019","34047","Castilla y León","Palencia",16.9263456090652,"Rural areas",3.48639811499403,38.42,27.6462058965684,3.96326727887869,21.6049382716049,11308,8.4
"10101","2019","34048","Castilla y León","Palencia",21.5686274509804,"Rural areas",0.986546452505066,31.96,26.5625,1.5625,19.1780821917808,NA,2.2
"10103","2019","34049","Castilla y León","Palencia",10.3305785123967,"Rural areas",1.17628109313845,90.38,37.9710144927536,0.289855072463768,25.9052924791086,13442,7.8
"10105","2019","34050","Castilla y León","Palencia",8.44155844155844,"Rural areas",1.44213820690944,43.22,34.7826086956522,1.93236714975845,23.5,13108,4.2
"10107","2019","34051","Castilla y León","Palencia",12.6582278481013,"Rural areas",0.889452972680567,26.53,38.7755102040816,0,12.8712871287129,NA,3.9
"10109","2019","34052","Castilla y León","Palencia",5.67375886524823,"Rural areas",1.63433101204427,52.84,35.0574712643678,0.574712643678161,22.4137931034483,12890,4
"10111","2019","34053","Castilla y León","Palencia",15.0602409638554,"Rural areas",1.44644519837316,21.83,27.1111111111111,1.77777777777778,17.8743961352657,11413,4.9
"10113","2019","34055","Castilla y León","Palencia",21.9047619047619,"Rural areas",1.36561654214661,40.53,31.0714285714286,2.5,22.5925925925926,12697,5.6
"10115","2019","34056","Castilla y León","Palencia",9.57446808510638,"Rural areas",1.96715463182219,102.31,24.7749678525504,3.21474496356622,27.3273273273273,12364,8.3
"10117","2019","34057","Castilla y León","Palencia",13.1498470948012,"Rural areas",2.26754022809422,18.79,40.3258655804481,0.407331975560081,28.0254777070064,12701,2.7
"10119","2019","34058","Castilla y León","Palencia",5,"Rural areas",1.48241526266766,36.46,44.3298969072165,0,8.994708994709,12800,3.2
"10121","2019","34059","Castilla y León","Palencia",7.57097791798107,"Rural areas",1.92757065520579,35.64,39.5402298850575,2.29885057471264,18.5446009389671,11107,6.5
"10123","2019","34060","Castilla y León","Palencia",6.36363636363636,"Rural areas",1.12307341080758,44.54,28.6713286713287,0.699300699300699,18.978102189781,11125,4.3
"10125","2019","34061","Castilla y León","Palencia",40,"Rural areas",1.58040269884777,72.83,33.3333333333333,1.96078431372549,22.6415094339623,NA,NA
"10127","2019","34062","Castilla y León","Palencia",26.4150943396226,"Rural areas",0.797467934432955,80.78,36.6013071895425,0.65359477124183,30.4093567251462,13284,5.5
"10129","2019","34063","Castilla y León","Palencia",9.21052631578947,"Rural areas",1.03276609292186,29.88,29.3577981651376,15.5963302752294,8.43373493975901,11554,3.1
"10131","2019","34066","Castilla y León","Palencia",23.4042553191489,"Rural areas",1.0617544588912,22.83,39.344262295082,1.63934426229508,16.9491525423729,NA,6.1
"10133","2019","34067","Castilla y León","Palencia",6.89655172413793,"Rural areas",1.11109624281631,93.04,36.8421052631579,0,26.7716535433071,13840,9
"10135","2019","34068","Castilla y León","Palencia",17.3913043478261,"Rural areas",0.87007593557379,73.45,22,0,18.5185185185185,NA,3.6
"10137","2019","34069","Castilla y León","Palencia",9.85163204747774,"Rural areas",3.04476882569216,11.96,23.0091883614089,2.29709035222052,26.4783759929391,12268,8.5
"10139","2019","34070","Castilla y León","Palencia",5,"Rural areas",1.15697067835509,50.47,52.0833333333333,1.38888888888889,20.1298701298701,11643,1.6
"10141","2019","34071","Castilla y León","Palencia",19.5652173913043,"Rural areas",1.50877118990677,56.57,40.1162790697674,1.74418604651163,22.8070175438597,11183,7.3
"10143","2019","34072","Castilla y León","Palencia",18.8976377952756,"Rural areas",1.45440555247995,28.17,42.1768707482993,0,10.5263157894737,13477,5
"10145","2019","34073","Castilla y León","Palencia",13.2867132867133,"Rural areas",1.45696368799386,80.95,33.8624338624339,1.58730158730159,19.4594594594595,14098,10.2
"10147","2019","34074","Castilla y León","Palencia",10.2611940298507,"Rural areas",2.80109279749976,34.14,31.6818774445893,2.73794002607562,23.6209335219236,12707,6.9
"10149","2019","34076","Castilla y León","Palencia",8.49256900212314,"Rural areas",2.35395889547042,20.53,29.0423861852433,6.90737833594977,18.3986371379898,11448,4.7
"10151","2019","34077","Castilla y León","Palencia",20.2749140893471,"Rural areas",2.35191205101281,11.04,22.3946784922395,0,29.6829971181556,13679,9.8
"10153","2019","34079","Castilla y León","Palencia",18.3189655172414,"Rural areas",4.39804740124481,7.68,9.52996981457525,1.20741699008193,24.3811881188119,13244,6.7
"10155","2019","34080","Castilla y León","Palencia",10.7500676956404,"Cities and suburbs",4.55827823676432,92.25,23.419516263553,0.834028356964137,33.0395683453237,12610,12.3
